Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-06-01 16:09:29.027 +0100,"Success",0:00:49,0,0,0,"20170601_160929.027/LogFile.txt","","",1
2017-06-01 16:15:58.820 +0100,"Success",0:00:07,0,0,0,"20170601_161558.820/LogFile.txt","","",1
2017-06-01 16:16:21.445 +0100,"Success",0:00:11,0,0,0,"20170601_161621.445/LogFile.txt","","",1
